start_survey,Latitude,Longitude,Altitude,Accuracy,Surveyor_ID,Surveyor_ID_other,Start_sampling,Found_pellets,End_sampling,Time_to_scat,Barcode,Suspected_organism,Season/survey,Cq(IS2404),QPCR result
Mon Jan 21 23:59:04 UTC 2019,-38.36792412,144.7696118,26.99290108,8,3,,23:59:00,1,0:00:00,0:01:00,RES18-00288,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:00:16 UTC 2019,-38.376575,144.8195011,33.59228516,5.36,1,,23:59:00,1,0:00:00,0:01:00,RES18-00262,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:03:02 UTC 2019,-38.36944664,144.7677372,30.82047897,6,3,,0:03:00,1,0:03:00,0:00:00,RES18-00289,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:02:59 UTC 2019,-38.37710594,144.8169291,23.74859619,3.216,1,,0:01:00,1,0:03:00,0:02:00,RES18-00263,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:05:40 UTC 2019,-38.37074028,144.7660291,31.55929941,8,3,,0:05:00,1,0:06:00,0:01:00,RES18-00290,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:07:32 UTC 2019,-38.37477515,144.8195908,4.097412109,5.36,1,,0:06:00,1,0:07:00,0:01:00,RES18-00264,2,Summer,NEG,IS2404_NEG
Tue Jan 22 00:13:39 UTC 2019,-38.37876809,144.8200684,20.71099854,6.432,1,,0:12:00,1,0:14:00,0:02:00,RES18-00265,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:16:28 UTC 2019,-38.38071702,144.8188621,13.92803955,7.504,1,,0:15:00,1,0:16:00,0:01:00,RES18-00266,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:22:21 UTC 2019,-38.38294776,144.8189397,47.64355469,5.36,1,,0:22:00,1,0:22:00,0:00:00,RES18-00267,1,Summer,35.72,IS2404_POS
Tue Jan 22 00:24:26 UTC 2019,-38.37075427,144.7688384,9.035825018,8,3,,0:24:00,1,0:25:00,0:01:00,RES18-00291,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:26:20 UTC 2019,-38.38321177,144.8210614,16.4810791,6.432,1,,0:25:00,1,0:26:00,0:01:00,RES18-00268,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:32:05 UTC 2019,-38.3706227,144.7711037,43.19164007,8,3,,0:32:00,1,0:32:00,0:00:00,RES18-00292,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:34:56 UTC 2019,-38.37215537,144.7692114,22.024501,6,3,,0:35:00,1,0:35:00,0:00:00,RES18-00293,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:34:55 UTC 2019,-38.38251533,144.8229893,25.13775635,4.288,1,,0:33:00,1,0:35:00,0:02:00,RES18-00364,1,Summer,35.30,IS2404_POS
Tue Jan 22 00:40:06 UTC 2019,-38.3739498,144.7703061,26.73377728,6,3,,0:40:00,1,0:40:00,0:00:00,RES18-00294,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:39:53 UTC 2019,-38.38329555,144.8252277,24.7232666,5.36,1,,0:39:00,1,0:40:00,0:01:00,RES18-00365,1,Summer,38.04,IS2404_POS
Tue Jan 22 00:42:57 UTC 2019,-38.38135828,144.8255274,16.25726318,4.288,1,,0:41:00,1,0:43:00,0:02:00,RES18-00366,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:44:35 UTC 2019,-38.3727804,144.7721403,13.99652434,6,3,,0:44:00,1,0:45:00,0:01:00,RES18-00295,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:45:47 UTC 2019,-38.3794299,144.8267688,-2.007446289,5.36,1,,0:44:00,1,0:46:00,0:02:00,RES18-00367,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:48:54 UTC 2019,-38.37122784,144.7730397,27.72056337,6,3,,0:49:00,1,0:49:00,0:00:00,RES18-00296,1,Summer,NEG,IS2404_NEG
Tue Jan 22 00:48:43 UTC 2019,-38.3773364,144.8275654,-0.12298584,7.504,1,,0:49:00,1,0:49:00,0:00:00,RES18-00368,1,Summer,NEG,IS2404_NEG
